name,size,number of attractors,number of attractors with control kernel,mean control kernel size,std control kernel size,number of input nodes,uses sampling method,number of uncontrollable attractors,fraction of uncontrollable attractors,number of cycles,number of modules,paper citation,url to paper,url to cell collective model
Cortical Area Development,5,2,2,1.0,0.0,0,False,0,0.0,0,1.0,Giacomantonio CE and Goodhill GJ.A Boolean model of the gene regulatory network underlying Mammalian cortical area development.PLoS Comput Biol 2010 Sep 166; (9).pmid:20862356,http://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1000936,https://cellcollective.org/#2035/cortical-area-development
Cell Cycle Transcription By Coupled CDK And Network Oscillators,9,2,1,1.0,0.0,0,False,1,0.5,1,1.0,"Orlando DA, Lin CY, Bernard A, Wang JY, Socolar JE, Iversen ES, Hartemink AJ, and Haase SB.Global control of cell-cycle transcription by coupled CDK and network oscillators.Nature 2008 Jun 12453; (7197) 944-7.pmid:18463633",https://www.nature.com/articles/nature06955,https://cellcollective.org/#2681/cell-cycle-transcription-by-coupled-cdk-and-network-oscillators
Mammalian Cell Cycle 2006,10,1,1,0.0,0.0,0,False,0,0.0,1,2.0,"Fauré A, Naldi A, Chaouiya C, and Thieffry D.Dynamical analysis of a generic Boolean model for the control of the mammalian cell cycle.Bioinformatics 2006 Jul 1522; (14) e124-31.pmid:16873462",https://academic.oup.com/bioinformatics/article/22/14/e124/227890,https://cellcollective.org/#2396/mammalian-cell-cycle-2006
Toll Pathway Of Drosophila Signaling Pathway,11,4,4,2.0,0.0,2,False,0,0.0,0,11.0,"Mbodj A, Junion G, Brun C, Furlong EE, and Thieffry D.Logical modelling of Drosophila signalling pathways.Mol Biosyst 2013 Sep9; (9) 2248-58.pmid:23868318",http://pubs.rsc.org/en/Content/ArticleLanding/2013/MB/c3mb70187e#!divAbstract,https://cellcollective.org/#2668/toll-pathway-of-drosophila-signaling-pathway
Metabolic Interactions In The Gut Microbiome,12,40,40,6.2,1.469693845669907,4,False,0,0.0,0,9.0,"Steinway SN, Biggs MB, Loughran TP Jr, Papin JA, and Albert R.Inference of Network Dynamics and Metabolic Interactions in the Gut Microbiome.PLoS Comput Biol 2015 Jun 2311; (5) e1004338.pmid:26102287",http://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004338,https://cellcollective.org/#5731/metabolic-interactions-in-the-gut-microbiome
Regulation Of The L-arabinose Operon Of Escherichia Coli,13,21,17,4.117647058823529,0.32218973970892123,4,False,4,0.19047619047619047,4,9.0,Jenkins A and Macauley M.Bistability and Asynchrony in a Boolean Model of the L-arabinose Operon in Escherichia coli.Bull Math Biol 2017 Jun 21.pmid:28639170,https://link.springer.com/article/10.1007%2Fs11538-017-0306-1,https://cellcollective.org/#6885:1/regulation-of-the-larabinose-operon-of-escherichia-coli/1
Lac Operon,13,9,9,3.2222222222222223,0.41573970964154905,3,False,0,0.0,0,5.0,Veliz-Cuba A and Stigler B.Boolean models can explain bistability in the lac operon.J Comput Biol 2011 Jun18; (6) 783-94.pmid:21563979,http://online.liebertpub.com.ezproxy1.lib.asu.edu/doi/full/10.1089/cmb.2011.0031,https://cellcollective.org/#5128/lac-operon
Arabidopsis Thaliana Cell Cycle,14,1,1,0.0,0.0,0,False,0,0.0,1,1.0,"Ortiz-Gutirrez E, Garca-Cruz K, Azpeitia E, Castillo A, Snchez Mde L, and çlvarez-Buylla ER.A Dynamic Gene Regulatory Network Model That Recovers the Cyclic Behavior of Arabidopsis thaliana Cell Cycle.PLoS Comput Biol 2015 Sep11; (9) e1004486.pmid:26340681",http://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004486,https://cellcollective.org/#4837:1/arabidopsis-thaliana-cell-cycle/1
Predicting Variabilities In Cardiac Gene,15,6,6,2.8333333333333335,0.6871842709362768,2,False,0,0.0,0,13.0,"Grieb M, Burkovski A, Strang JE, Kraus JM, Gro§ A, Palm G, Kuhl M, and Kestler HA.Predicting Variabilities in Cardiac Gene Expression with a Boolean Network Incorporating Uncertainty.PLoS One 2015 Jul 2410; (7) e0131832.pmid:26207376",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0131832,https://cellcollective.org/#4706/predicting-variabilities-in-cardiac-gene
Cardiac Development,15,6,6,2.8333333333333335,0.6871842709362768,2,False,0,0.0,0,13.0,"Herrmann F, Gro§ A, Zhou D, Kestler HA, and Khl M.A boolean model of the cardiac gene regulatory network determining first and second heart field identity.PLoS One 20127; (10) e46798.pmid:23056457",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0046798,https://cellcollective.org/#2136/cardiac-development
